Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-02,New Netflix scam on the rise,Aussies are being warned of a new phishing scam that impersonates streaming platform Netflix in an attempt to steal financial details of users.,https://www.9news.com.au/national/netflix-phishing-scam-users-warned-to-avoid-hoax-email/cd696548-7f8e-4553-a81c-b2658773b0a5,,13.0
2020-10-28,Donald Trumps website hacked in cyber attack,A message was posted to the upcoming events page of Donaldjtrump.com that said the world had had enough of the fake news spread by Trump.,https://www.9news.com.au/world/donald-trump-2020-president-campaign-website-hacked/f68bb24e-bd1f-4901-b857-16b7851645eb,,13.0
2020-10-28,Family deeply grieving after teen charged with murder,A 16-year-old boy has been charged with murder after allegedly stabbing an 18-year-old to death at a skate park in Canberras south.,https://www.9news.com.au/national/canberra-teenager-charged-murder-allegedly-stabbed-18-year-old-man-weston-skate-park/5ba87459-5949-4958-ad48-fab4d72272d4,Canberras south ,27.0
2020-10-22,"Cyberattacks could unleash catastrophy on banks, energy networks","Australia must brace for devastating cyber attacks on its vital infrastructure, Home Affairs Minister Peter Dutton will warn.",https://www.9news.com.au/national/cyberattacks-peter-dutton-warns-of-devastating-results-for-key-industries/6544a976-f6cd-4512-9a88-87748456c789,Australia,13.0
2020-10-20,Russian hackers accused of targeting Tokyo Olympics,"Britain has accused Russian hackers of targeting this years Tokyo Olympic Games, with the aim of causing disruption.",https://www.9news.com.au/world/russia-accused-of-global-cyberattacks-against-olympics-french-election/ad64cdba-69ae-40f2-b812-dff7b8e02b7a,Tokyo Britain,13.0
2020-10-13,Microsoft launches global takedown attempt of cybercrime network,"Microsoft today announced legal action seeking to disrupt a major cybercrime digital network that uses more than one million zombie computers to loot bank accounts and spread ransomware, which experts consider a major threat to the US presidential election.",https://www.9news.com.au/technology/microsoft-attempts-takedown-of-global-criminal-botnet/d3287839-1da4-41a0-a8f5-e845cf32dce3,US,13.0
2020-10-07,Adele tops list of the most dangerous celebrities online,One of the most dangerous things you can do with your computer is do a Google search for Adele.,https://www.9news.com.au/entertainment/adele-most-dangerous-celebrity-google-anna-kendrick-drake-mcafee-malware-cybercrime/efad6590-3f02-42e9-aa96-5b0c15f9735e,,13.0
2020-09-25,"Credit card details, passports compromised by Scouts Victoria phishing scam",Nine hundred people have had their private information compromised by an email hack targeting Scouts Victoria.,https://www.9news.com.au/national/scouts-victoria-hacked-phishing-scam-data-breach-cybersecurity/97ca1ea1-93e5-4154-a46e-f1a155a95429,,13.0
2020-09-24,Two men arrested over massive fake SMS scam operating out of Sydney,Two men accused of orchestrating a sophisticated SMS phishing scam to steal identities have been arrested by Federal Police.,https://www.9news.com.au/national/australia-cybercrime-two-men-arrested-over-fake-sms-phishing-scam/19791d0d-2c4c-4615-a4a2-43ac4dddc776,Sydney,13.0
2020-09-22,Sleeper cyber weapons deployed on Australian networks right now,"Its the invisible war happening 24/7, every day of the year. ",https://www.9news.com.au/national/cyber-warfare-sleepers-active-on-australian-networks-right-now-expert-claims/39c6ba98-1b88-4bfe-9f80-212d0b92c76d,,13.0
