Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-12,What Bidens foreign policy might mean for Australia,"Joe Bidens presidency will do little to change the prospect that Australia will be left alone to defend itself in the Asia Pacific, according to one expert.",https://www.9news.com.au/world/asia-pacific-security-and-joe-biden-presidency-australia-alone/80a2e30b-b9d5-4377-908d-0160407beb29,the Asia Pacific Australia,13.0
2020-11-04,Facial recognition tech coming to SA coronavirus quarantine,Police compliance checks on COVID-19-affected people quarantining at home could be replaced with face-scanning technology and geo-mapping in South Australia.,https://www.9news.com.au/national/coronavirus-south-australia-facial-recognition-technology-qr-codes-could-be-used-in-state/45e19a84-b73a-4896-a390-d8deb7eab98d,South Australia,27.0
2020-10-29,Brand new $100 banknote enters circulation,Australias banknotes are now thought to be the most secure in the world.,https://www.9news.com.au/national/australias-new-100-dollar-banknote-enters-circulation-impossible-to-forge/6e66da0b-7512-434e-bd47-e2100f015cb4,,13.0
2020-10-23,Microwave weapon targeted CIA agents ,"The revelation that CIA agents were targeted by a sophisticated microwave weapon while in Australia last year proves such devices are real, a security expert said.",https://www.9news.com.au/world/havana-syndrome-explainer-microwave-weapon-behind-havana-syndrome-attack-on-cia-agents-real/8f74e64c-1b02-4dfb-9fa9-98c7682d0652,Australia,13.0
2020-09-26,TikTok denies participation in Australia security probes,TikTok executives told a Senate committee on Friday that they lobbied Australian lawmakers but did not engage with investigators before the government concluded that the video-sharing app did not pose a security threat.,https://www.9news.com.au/national/tiktok-denies-participation-australia-security-probe-into-china/f93f91f2-14e8-4878-b051-35a2601d8ae0,Australia,27.0
2020-09-23,Class action launched against hotel quarantine security firms,A class action has been filed against two companies who were contracted to provide security for Victorias hotel quarantine program after a number of alleged breaches drove the states second coronavirus wave.,https://www.9news.com.au/national/class-action-launched-against-security-firms-victoria-hotel-quarantine-program/4c0a2c6a-6b66-44af-a64c-0995e98bfb86,,27.0
2020-09-23,Australia could go for herd immunity with ruthless bio-burn,"Australia should conduct bio-burn and let coronavirus spread across Australia, state-by-state, with the goal of achieving herd immunity, an international security expert has suggested.",https://www.9news.com.au/national/coronavirus-should-australia-go-for-herd-immunity-strategy-dr-allan-orr-suggests-bio-burn/259bcb97-48f4-41fc-a482-7a27be2522df,Australia,13.0
2020-09-21,University of Tasmania IT bungle leads to mass student data breach,Thousands of University of Tasmania (UTAS) students have had their personal information exposed to the entire campus after an IT bungle.,https://www.9news.com.au/national/university-of-tasmania-personal-identity-data-breach-not-malicious-management-claim/9b4f4b76-bbe4-4f0f-be5f-c51d30bfd9b7,,13.0
2020-09-18,Huge delays at regional Victorian checkpoints ahead of weekend rush,"It comes as checkpoints into regional Victoria face their first major test, with police vowing to stamp out unlawful actions.",https://www.9news.com.au/national/coronavirus-victoria-anti-lockdown-protests-planned-for-weekend-as-regional-checkpoints-face-major-test/535b7b30-e2ad-46e1-bda4-9c745d122c6d,,27.0
2020-09-14,TikTok will partner with Oracle in US after Microsoft loses bid,TikTok and Oracle will become business partners in the United States.,https://www.9news.com.au/technology/tiktok-to-partner-with-oracle-in-united-states-after-microsoft-loses-bid/427d1eee-e804-4dc6-9fd8-ae67b7c42345,US the United States,27.0
