Title,Summary,Classification,Human_Safety,Infrastructure,Communication,Finance,Controllable
Teen charged with sexual assault of young girl he met online,A 19-year-old man has been charged over the alleged sexual assault of young girl he met on social media in northern NSW.,Physical,Not safe,No impact,No impact,No impact,Yes
Covert war crimes inquiry compromised by former AFP chief Mick Keelty,A corruption investigation was launched after confidential police information was leaked to war crimes suspect Ben Roberts-Smith at a covert stage of the inquiry.,No threat,Safe,No impact,No impact,No impact,Yes
"Cyber-attack targeted 186,000 Service NSW customers","A cyber-security breach at Service NSW earlier this year was far worse than originally thought, it's been revealed.",Cyber,Possible safe,No impact,Impact,Impact,No
Australians involved in online porn data breach,"A data leak from an international pornography website has exposed copies of passports, credit cards, birth certificates and other sensitive personal details of thousands of actors in the adult entertainment industry, according to cyber researchers.",Cyber,Safe,No impact,Impact,No impact,Yes
AFL fans' private chats exposed in 'mass data breach',"A large data leak from an AFL fan website has exposed more than 70 million records online, including private conversations between users, according to cyber security researchers.",Cyber,Safe,No impact,Impact,Impact,No
'Security risk' to be moved from Melbourne for COVID-19 protection,"A man labelled a ""risk to security"" by Australia's internal spy agency will be flown from coronavirus-crippled Melbourne to a detention centre in Western Australia to keep him safe from the pandemic.",Physical,Not safe,Impact,No impact,No impact,No
Over 100 million VPN users at risk of being hacked from vulnerability,A popular tool designed to give users added safety and privacy online_could be doing just the opposite.,Cyber,Possible safe,No impact,Impact,No impact,No
"Crucial evidence about gun and corrupt cop not heard by jury, court told",A suppression order has been lifted in the Supreme Court appeal by former detectives Glen McNamara and Roger Rogerson to overturn their murder convictions.,Physical,Possible safe,No impact,No impact,No impact,Yes
Donald Trump escorted from White House briefing after shooting,A suspect has been taken to hospital after being shot by a member of the Secret Services outside the White House.,Physical,Not safe,Impact,No impact,No impact,Yes
Curious blogger accidentally hacks Tony Abbott's boarding pass,A tech blogger has documented how he got personal data on former Prime Minister Tony Abbott from a completely innocuous Instagram post.,Cyber,Possible safe,No impact,Impact,No impact,Yes
US couple accused of $8.7 million romance scam,A US couple allegedly pretended to strike up romantic relationships with victims as part of an international romance scam totalling A$8.7 million.,Cyber,Safe,No impact,Impact,Impact,No
Aussies lose more than $1.2 million as scammers pounce on COVID-19 vulnerability,ACCC Chair Delia Rickard said scammers are preying on the financial vulnerability felt by many due to the coronavirus pandemic.,Cyber,Safe,No impact,Impact,Impact,Yes
Police probe possible organised crime consortium behind alleged cocaine haul,"After Border Force noticed a suspicious-looking boat route, police raided a fishing vessel to allegedly find 1.8 tonnes of cocaine on board - and three men not previously known to police",Physical,Safe,No impact,No impact,No impact,Yes
Sydney GP has shown 'no remorse' for assaulting sleeping women: court,Ali Khorami was found guilty of indecently assaulting multiple women who attended a Glebe clinic for sleep studies in 2018.,Physical,Not safe,No impact,No impact,No impact,Yes
What you need to know about the 'malicious' cyber attack,"All levels of Australian government, critical infrastructure and the private sector are being targeted in a 'sophisticated state-based' cyber attack, Scott Morrison has revealed.",Cyber,Safe,No impact,Impact,No impact,Yes
'Throw the book at them' over alleged hotel quarantine breaches,"Alleged breaches at Melbourne's quarantine hotels should be dealt with by the full force of the law, Health Minister Greg Hunt says.",Physical,Not safe,Impact,No impact,No impact,Yes
COVID-19 scammers unwittingly email cyber security expert ,An international scammer posing as the World Health Organisation to exploit fears linked to the coronavirus pandemic has unwittingly unravelled his own scheme by emailing an Australian cyber security expert.,Cyber,Safe,No impact,Impact,No impact,Yes
Android apps designed to charge unsuspecting victims: Report,"Android apps designed to drain the wallets of unsuspecting users have been downloaded more than 600 million times, a new cyber security report claims.",Cyber,Safe,No impact,Impact,No impact,Yes
New report finds 1 in 6 Australians scammed during lockdown,"As many as one in six Australians fell victim to an online scams during the pandemic, prompting experts to warn of illegal activity as screen time increases.",Cyber,Safe,No impact,Impact,Impact,Yes
Porter defends Keelty's appointment to anti-corruption position,"Attorney-General Christian Porter has defended former AFP boss Mick Keelty's role as an anti-corruption adviser, even though his conduct was subject to a corruption investigation at the time.",No threat,Safe,No impact,No impact,No impact,Yes
"Australia the sixth most hacked country in world, data reveals","Australia is one of the world's most hacked countries, according to recently released data.",Cyber,Possible safe,No impact,Impact,Impact,Yes
"$15b boost to tackle cyber attacks on Australia, in wake of ""China"" hacking","Australia's biggest ever boost to cyber security has been announced, in the wake of attacks earlier this month which crippled vast networks in the government and private sector.",Cyber,Possible safe,No impact,Impact,Impact,No
"$15b boost to tackle cyber attacks on Australia, in wake of ""China"" hacking","Australia's biggest ever boost to cyber security has been announced, in the wake of attacks earlier this month which crippled vast networks in the government and private sector.",Cyber,Possible safe,No impact,Impact,Impact,No
Scammers use greed and romance to siphon $11m from Aussies in May,"Australians were nefariously stripped of more than $11 million in scams last month, with fake investment schemes and the hope of romance the most lucrative criminal ruses.",Cyber,Safe,No impact,Impact,Impact,Yes
McNamara claims Rogerson admitted prior murders before Jamie Gao killing,Both former detectives are appealing against their 2016 convictions and life sentences for the murder of the drug dealing student in a Padstow storage unit.,Physical,Possible safe,No impact,No impact,No impact,No
Abdul Abu-Mahmoud guilty of ordering Brayden Dillon revenge execution,"Brayden, 15, was shot dead in his bed in Sydney's south-west in April 2017. He was targeted in revenge for the perceived actions of his brother.",Physical,Not safe,No impact,No impact,No impact,Yes
Police officer shot dead in south London,"British police officers remain routinely unarmed, and a survey in 2017 suggested most did not want to carry weapons regularly.",Physical,Not safe,No impact,No impact,No impact,No
How Shore's Christian values helped humble and shape me as a man,Calls to jettison Shore's Christian foundations would be misguided.,No threat,Safe,No impact,No impact,No impact,Yes
China hackers suspected in easyJet attack,"Chinese hackers are suspected of accessing email and travel details of about nine million easyJet customers, sources familiar with the investigation say.",Cyber,Possible safe,No impact,Impact,No impact,Yes
Dawson trial to go ahead after application for permanent stay rejected,"Chris Dawson is accused of murdering his wife Lynette, who disappeared in 1982. He has pleaded not guilty.",Physical,Not safe,No impact,No impact,No impact,Yes
Fake dating app 'doctor' guilty of sexual and indecent assaults,David Gabrieli has been convicted of multiple sexual and indecent assaults involving four women he met on Bumble and RSVP.,Physical,Not safe,No impact,No impact,No impact,No
"Security guards blame schedules, lack of training at quarantine inquiry",Even some of the guards being blamed for the second wave of COVID-19 in Melbourne claim they could see the problem with working across multiple hotels.,Physical,Not safe,Impact,No impact,No impact,Yes
"'Sleeper' agent ran spy ring in Australia, reveals ASIO chief",Foreign spies have sought to set up computer hacking operations in Australia and use university jobs as a cover to collect intelligence.,Cyber,Possible safe,No impact,Impact,No impact,Yes
Cyber attack an 'affront to Australia's sovereignty': former security adviser,Former National Cyber Security adviser Alistair MacGibbon says the the purpose of the attacks was more than likely for strategy purposes and to steal Australia's intellectual property.,Cyber,Possible safe,No impact,Impact,No impact,No
Man charged with attack on police found dead in prison cell,"Frederick Fadi Elrezz had been in custody since September 2, when he allegedly attacked a group of three police officers in Sydney's CBD, slashing one in the head and shoulder with a knife.",Physical,Not safe,Impact,No impact,No impact,Yes
Man charged with attack on police found dead in prison cell,"Frederick Fadi Elrezz had been in custody since September 2, when he allegedly attacked a group of three police officers in Sydney's CBD, slashing one in the head and shoulder with a knife.",Physical,Not safe,No impact,No impact,No impact,No
Sydney photographer arrested following sexual assault allegations,Garth Knight was arrested at his Waterloo home after two women accused him of assaulting them during photo shoots.,Physical,Not safe,No impact,No impact,No impact,Yes
Update now': Hundreds of millions of PCs at risk from attacks,Hundreds of millions of PCs are now vulnerable to dangerous malware and attacks after Microsoft removed support for Windows 7 overnight.,Cyber,Possible safe,No impact,Impact,No impact,No
