Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-09,Labor questions why minister appeared with foreign interference suspect,Kristina Keneally has asked why Alan Tudge was not advised against an appearance with a Liberal Party member under investigation by national security agencies.,https://www.smh.com.au/politics/federal/labor-questions-why-minister-appeared-with-foreign-interference-suspect-20201109-p56cwa.html,,27.0
2020-11-09,Man charged over improvised explosives found in 2018,The Boreen Point man was charged after a member of the public found improvised explosives in 2018 near Bundaberg.,https://www.smh.com.au/national/queensland/man-charged-over-improvised-explosives-found-in-2018-20201109-p56cph.html,Bundaberg,27.0
2020-11-08,Suspected influence agent quits Victorian Liberal Party,"Di Sanh Duong, who has been charged with preparing an act of foreign interference, has quit the Victorian division of the Liberal Party amid calls for him to be suspended.",https://www.smh.com.au/politics/federal/suspected-influence-agent-quits-victorian-liberal-party-20201108-p56cn1.html,,13.0
2020-11-07,Frydenberg supports suspension of Liberal Party member charged with foreign interference,Federal Liberal MPs want a party member who has been charged with preparing an act of foreign interference to be suspended from the party.,https://www.smh.com.au/politics/federal/frydenberg-supports-suspension-of-liberal-party-member-charged-with-foreign-interference-20201107-p56cd7.html,,13.0
2020-11-06,Man charged with foreign interference still a Liberal Party member,A Melbourne man charged with preparing an act of foreign interference within Australia is a fee-paying member of the Liberal Party.,https://www.smh.com.au/politics/federal/man-charged-with-foreign-interference-still-a-liberal-party-member-20201106-p56c7f.html,Melbourne Australia,27.0
2020-11-05,Melbourne man charged over foreign interference,A Melbourne man has been charged with preparing an act of foreign interference within Australia after a year-long investigation.,https://www.smh.com.au/politics/federal/melbourne-man-charged-over-foreign-interference-20201105-p56bvs.html,Melbourne Australia,27.0
2020-10-30,The most powerful mandarin in our extended security state,Home Affairs secretary Michael Pezzullo has advocated that the state must embed itself invisibly to defend its citizens. The liberal tradition might prefer the state derived its powers from the consent of the governed.,https://www.smh.com.au/national/the-most-powerful-mandarin-in-our-extended-security-state-20201027-p5690p.html,,13.0
2020-10-28,Waiting for report: Women on nine other planes were stopped and searched at Doha airport,Dozens more women from around the world could have been subjected to invasive body searches at Doha airport after it was revealed a total of 10 planes were caught up in the scandal.,https://www.smh.com.au/politics/federal/waiting-for-report-women-on-nine-other-planes-were-stopped-and-searched-at-doha-airport-20201028-p569ap.html,Doha,13.0
2020-10-27,AFP concerned it doesnt have jurisdiction to investigate Doha airport searches,The Australian Federal Police is trying to work out whether it has jurisdiction to investigate the invasive body searches of 13 Australian women at Doha airport.,https://www.smh.com.au/politics/federal/afp-concerned-they-don-t-have-jurisdiction-to-investigate-doha-airport-searches-20201027-p568yg.html,Doha,13.0
2020-10-26,Australia demands Qatari report on grossly disturbing airport body searches,Federal police officers have started contacting Australian women who were subject to invasive body searches at Doha airport.,https://www.smh.com.au/politics/federal/australia-demands-qatari-report-on-grossly-disturbing-airport-body-searches-20201026-p568pd.html,Australia Doha,13.0
