Title,Summary,Date
#ProudShoreMums stand up for their sons after muck-up day controversy,"Mothers have been posting photos on Instagram and Facebook of their children in Shore uniform, adding blue and white hearts to represent the school's colours.","Today, 12.00am"
Stabbing attack near former offices of Charlie Hebdo magazine in Paris,Police responded to an incident near the former offices of a magazine attacked by terrorists during a deadly wave of assaults five years ago.,"September 26, 2020"
New Zealand-born police officer shot dead in London police station,"Sergeant Matiu Ratana was shot dead inside the police station by a suspect who was handcuffed at the time, police said.","September 26, 2020"
Two charged over COVID-19 outbreak at US veterans' home that left 76 dead,The medical director and superintendent of the facility were indicted on charges of criminal neglect in connection to a coronavirus outbreak.,"September 26, 2020"
More elite Sydney schools drawn into 'criminal' muck-up day fiasco,St Aloysius' College and other schools in northern Sydney have become embroiled in a controversy triggered by Shore School year 12s.,"September 26, 2020"
Police officer shot dead in south London,"British police officers remain routinely unarmed, and a survey in 2017 suggested most did not want to carry weapons regularly.","September 25, 2020"
Sydney photographer arrested following sexual assault allegations,Garth Knight was arrested at his Waterloo home after two women accused him of assaulting them during photo shoots.,"September 25, 2020"
Man charged with attack on police found dead in prison cell,"Frederick Fadi Elrezz had been in custody since September 2, when he allegedly attacked a group of three police officers in Sydney's CBD, slashing one in the head and shoulder with a knife.","September 25, 2020"
Relic of Pope John Paul II's blood stolen from Italian cathedral,The relic was in the Spoleto cathedral temporarily and was due to be moved next month to a new church in Umbria named after the saint and late pope.,"September 25, 2020"
Three more charged over Surfers Paradise stabbing death,"Raymond Harris, 27, was stabbed in the torso with a hunting knife on Wednesday and died shortly after in hospital.","September 25, 2020"
