Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-11,Police hunt gunman after shooting at Riverwood,"Police say they know the identity of the alleged shooter, and have called on him to hand himself in.",https://www.smh.com.au/national/nsw/police-hunt-gunman-after-shooting-at-riverwood-20201111-p56dgs.html,Riverwood,27.0
2020-11-10,Police return to the crime scene of underworld figure shooting,Officers conducted a secondary canvass of the crime scene on Tuesday and have renewed their appeal to the public for any information in relation to the shooting. ,https://www.smh.com.au/national/nsw/police-return-to-the-crime-scene-of-underworld-figure-shooting-20201110-p56ddc.html,,27.0
2020-11-09,Man sleeping in car leads police to major drug bust,"Police allege they found 1.5 kilograms of cocaine, weapons and more than $40,000 in cash after raiding the mans Waterloo home.",https://www.smh.com.au/national/nsw/man-sleeping-in-car-leads-police-to-major-drug-bust-20201109-p56cqb.html,Waterloo,27.0
2020-11-08,"Beautiful angel dead, two seriously injured after car mounts Wollongong footpath","Libby Ruge, who died after she was struck by the car, was described as one of the most kindest souls by friends mourning her death on Sunday.",https://www.smh.com.au/national/nsw/woman-dead-two-seriously-injured-after-car-mounts-wollongong-footpath-20201108-p56chp.html,Wollongong,27.0
2020-11-08,Cops and complaints: officers speak out on policing the police,Police officers from across NSW say complaints are being “weaponised” and used to push good officers out while protecting underperforming police.,https://www.smh.com.au/national/nsw/cops-and-complaints-officers-speak-out-on-policing-the-police-20201102-p56auy.html,,27.0
2020-11-06,"$250,000 reward for info on missing Sydney man","NSW Police have announced an increased reward for tips on Simon Knight, who disappeared in Surry Hills 15 years ago.",https://www.smh.com.au/national/nsw/250-000-reward-for-info-on-missing-sydney-man-20201106-p56c51.html,Sydney Surry Hills,27.0
2020-11-04,Two people have died in a light plane crash in Central NSW,"Emergency services were called to a property in Carcoar at about 7.45pm, after reports a light plane had crashed after leaving Orange Regional Airport earlier in the afternoon.",https://www.smh.com.au/national/nsw/two-people-have-died-in-a-light-plane-crash-in-central-nsw-20201104-p56bm5.html,Orange Regional Airport Central NSW Carcoar,27.0
2020-11-03,Former Liberal staffer arrested on child sexual abuse charges,"The man, who has worked for two NSW premiers, faces a series of child sexual abuse charges after a lengthy investigation by police.",https://www.smh.com.au/national/nsw/former-liberal-staffer-arrested-on-child-sexual-abuse-charges-20201103-p56b4k.html,NSW,27.0
2020-11-02,"I just killed my case manager: Peter Kemball called father after Balmain stabbing, court told","Peter John Kemball told his father that his case manager was a hitman and Im his job, the NSW Supreme Court heard.",https://www.smh.com.au/national/nsw/i-just-killed-my-case-manager-peter-kemball-called-father-after-balmain-stabbing-court-told-20201102-p56apl.html,Balmain,27.0
2020-11-02,"Loss of mother too much for family who hope $500,000 reward brings closure",Daniel Chetty remains traumatised from the loss of his mother who died from significant acid burns to her body in 2014. ,https://www.smh.com.au/national/nsw/loss-of-mother-too-much-for-family-who-hope-500-000-reward-brings-closure-20201102-p56amu.html,,27.0
