Title,Summary,Date
Dawson trial to go ahead after application for permanent stay rejected,"Chris Dawson is accused of murdering his wife Lynette, who disappeared in 1982. He has pleaded not guilty.","September 25, 2020"
Sydney GP has shown 'no remorse' for assaulting sleeping women: court,Ali Khorami was found guilty of indecently assaulting multiple women who attended a Glebe clinic for sleep studies in 2018.,"September 25, 2020"
Man charged with attack on police found dead in prison cell,"Frederick Fadi Elrezz had been in custody since September 2, when he allegedly attacked a group of three police officers in Sydney's CBD, slashing one in the head and shoulder with a knife.","September 25, 2020"
Shore challenges won't earn you entry to adult world,Is it bad that I am not surprised when I read the Triwizard Shornament challenge book? Is it even worse that I understand it?,"September 24, 2020"
Crashed car focus of investigation into 'targeted' fatal stabbing,Police believe the events leading up to a black car crashing into a creek in western Sydney could help them understand why a man was fatally stabbed nearby.,"September 24, 2020"
Abdul Abu-Mahmoud guilty of ordering Brayden Dillon revenge execution,"Brayden, 15, was shot dead in his bed in Sydney's south-west in April 2017. He was targeted in revenge for the perceived actions of his brother.","September 24, 2020"
McNamara claims Rogerson admitted prior murders before Jamie Gao killing,Both former detectives are appealing against their 2016 convictions and life sentences for the murder of the drug dealing student in a Padstow storage unit.,"September 24, 2020"
Man charged in Bathurst over alleged importation of firearms,"Robert Bettles was charged with possessing an unregistered firearm, not keeping the firearm safely, possessing ammunition without having a licence or permit or authority, and possessing or using a prohibited weapon without a permit.","September 23, 2020"
"Psychologist suspected John Edwards could be dangerous, inquest hears",The psychologist says she told Jack and Jennifer Edwards' court-appointed lawyer she thought their father was a potentially dangerous narcissist.,"September 23, 2020"
"Crucial evidence about gun and corrupt cop not heard by jury, court told",A suppression order has been lifted in the Supreme Court appeal by former detectives Glen McNamara and Roger Rogerson to overturn their murder convictions.,"September 22, 2020"
