Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-13,"Doctor saw bruise, abrasion on Jack de Belin assault complainant, court told",0,Dr Ann Ellacott told the District Court she examined the 19-year-old woman on the day she was allegedly sexually assaulted.,https://www.smh.com.au/topic/sydney-crime-62n,-
2020-11-12,"Man, 74, arrested following shooting on Sydneys north shore","The elderly man was arrested following the shooting of a man, who police believe is his son-in-law, in Wahroonga on Thursday.",https://www.smh.com.au/national/nsw/man-74-arrested-following-shooting-on-sydney-s-north-shore-20201112-p56dyz.html,Sydneys north Wahroonga,27.0
2020-11-12,There are no winners: victims mum hugged Mathew Flame after fatal bashing verdict,Lindy Anderson approached her sons killer and simply embraced him after a manslaughter verdict was given in the Sydney courtroom.,https://www.smh.com.au/national/nsw/mathew-flame-found-guilty-of-liam-anderson-s-manslaughter-20201109-p56d0r.html,Sydney,27.0
2020-11-12,"From the archives, 1985: Man takes potshots at Supreme Court","When a gunman decided to open fire on the Supreme Court in Sydney, he made sure he had plenty of refreshments on hand.",https://www.smh.com.au/national/nsw/from-the-archives-1985-man-takes-potshots-at-supreme-court-20201105-p56bv1.html,Sydney,27.0
2020-11-11,Police hunt gunman after shooting at Riverwood,"Police say they know the identity of the alleged shooter, and have called on him to hand himself in.",https://www.smh.com.au/national/nsw/police-hunt-gunman-after-shooting-at-riverwood-20201111-p56dgs.html,Riverwood,27.0
2020-11-11,Sydney man jailed after buying knives for imminent terrorist attack,"The 20-year-old, who cannot be named because he was 16 at the time, was described by a judge as an unequivocally committed terrorist.",https://www.smh.com.au/national/nsw/sydney-man-jailed-after-buying-knives-for-imminent-terrorist-attack-20201111-p56dmr.html,Sydney,27.0
2020-11-10,He grabbed me like this: Girl shows court how Kyle Daniels allegedly touched her,A seven-year-old girl has stood up and pulled at the crotch of her pants to demonstrate how she says her swim coach touched her during lessons in 2019.,https://www.smh.com.au/national/nsw/he-grabbed-me-like-this-girl-shows-court-how-kyle-daniels-allegedly-touched-her-20201110-p56d65.html,,27.0
2020-11-09,83-year-old man charged with touching teenager at Sydney shopping centre,The 19-year-old woman spoke to police after the man allegedly touched her in an inappropriate area at Top Ryde City in October.,https://www.smh.com.au/national/nsw/83-year-old-man-charged-with-touching-teenager-at-sydney-shopping-centre-20201109-p56czm.html,Sydney Top Ryde City,27.0
2020-11-09,Man sleeping in car leads police to major drug bust,"Police allege they found 1.5 kilograms of cocaine, weapons and more than $40,000 in cash after raiding the mans Waterloo home.",https://www.smh.com.au/national/nsw/man-sleeping-in-car-leads-police-to-major-drug-bust-20201109-p56cqb.html,Waterloo,27.0
2020-11-08,Systemic failures: Family performs courtroom haka to remember Jack Kokaua,Jack Kokaua died in February 2018 after being restrained by police on a street in Sydneys inner west.,https://www.smh.com.au/national/nsw/systemic-failures-family-performs-courtroom-haka-to-remember-jack-kokaua-20201106-p56c8e.html,Sydneys,27.0
